city,geo_location,primary_language,primary_language_percentage,secondary_language,secondary_language_percentage,avg_years_education,most_common_education,bachelor_or_higher_percentage
Jeddah,"21.48923716025549, 39.157633440702895",Arabic,40.6,French,35.5,15.4,Master,83.0
Jeddah,"21.490962632720937, 39.15847777202763",English,23.2,Spanish,22.5,14.5,Master,69.7
Jeddah,"21.49083160242847, 39.16413933177823",Arabic,50.5,Spanish,25.4,12.3,Master,74.9
Jeddah,"21.48865533052374, 39.168478731473684",French,48.2,Mandarin,21.6,14.5,PhD,79.1
Jeddah,"21.490092021450913, 39.17113194840618",Spanish,73.7,English,13.4,15.2,Bachelor,88.1
Jeddah,"21.49088306207237, 39.1720011851501",Arabic,64.1,English,15.6,16.8,Master,60.1
Jeddah,"21.488507722429922, 39.17779116258641",Mandarin,81.6,English,7.9,16.0,Master,72.8
Jeddah,"21.489075057945634, 39.18154565903896",Arabic,34.0,Mandarin,25.5,14.6,High School,52.7
Jeddah,"21.49108572116196, 39.18145075833802",English,61.8,Spanish,16.6,16.3,High School,50.4
Jeddah,"21.491228431386627, 39.18575458904675",French,41.0,Spanish,23.6,13.7,High School,56.6
Jeddah,"21.48825548795649, 39.1908492929928",French,41.3,Arabic,28.3,17.5,PhD,69.4
Jeddah,"21.490306606698855, 39.19164161345848",Arabic,54.3,Spanish,20.5,17.7,Master,66.4
Jeddah,"21.489820791110716, 39.19610716224875",English,37.6,Mandarin,26.5,14.0,Associate Degree,47.2
Jeddah,"21.489998440023044, 39.200267544512954",Mandarin,40.3,Arabic,31.5,16.2,High School,28.9
Jeddah,"21.489470751111426, 39.20235379765749",Arabic,45.4,Mandarin,29.2,16.0,Bachelor,65.2
Jeddah,"21.488411619660084, 39.20696231588743",English,63.2,Arabic,15.2,17.0,High School,44.0
Jeddah,"21.4908911134933, 39.208913617692616",English,46.0,French,21.7,14.8,Master,76.2
Jeddah,"21.49003529953964, 39.211509484962384",Spanish,52.5,Mandarin,22.0,17.8,High School,58.5
Jeddah,"21.491451713979608, 39.2156448724681",Arabic,55.3,Mandarin,13.8,14.4,PhD,85.6
Jeddah,"21.48988705835831, 39.21953191789747",Spanish,42.3,English,39.8,12.9,PhD,74.6
Jeddah,"21.488600338672963, 39.22505797364197",French,35.2,Mandarin,34.3,12.4,Master,58.3
Jeddah,"21.49142994079099, 39.22687812582065",French,33.3,Spanish,29.5,13.3,PhD,61.5
Jeddah,"21.491655790678085, 39.230962663312425",French,61.4,Mandarin,17.5,16.6,PhD,63.1
Jeddah,"21.489677477217448, 39.23262054139122",Spanish,62.1,Mandarin,14.9,14.0,Bachelor,91.3
Jeddah,"21.489665026394004, 39.237547818352375",French,41.7,Spanish,34.8,15.2,Associate Degree,25.5
Jeddah,"21.489085031832037, 39.23831154827987",Spanish,38.4,French,36.3,14.4,Master,72.6
Jeddah,"21.48949123266695, 39.24334149710357",English,52.0,Arabic,19.3,13.9,High School,32.8
Jeddah,"21.49160776403703, 39.24538404406776",French,42.3,Spanish,20.9,12.7,Associate Degree,30.0
Jeddah,"21.491217352077832, 39.251925655455764",Mandarin,40.9,Spanish,40.8,13.4,High School,49.1
Jeddah,"21.495149650963175, 39.14827570575109",French,24.4,Mandarin,24.3,12.8,Bachelor,59.2
Jeddah,"21.493193710045, 39.15246256081581",Mandarin,34.5,Spanish,31.7,13.8,High School,24.4
Jeddah,"21.494712719350378, 39.15597587035357",Arabic,32.9,Spanish,25.8,12.4,PhD,43.9
Jeddah,"21.49354569891463, 39.158031876694224",Mandarin,84.9,Spanish,8.0,17.2,Master,73.2
Jeddah,"21.492136017947143, 39.16358856029663",Arabic,32.0,English,21.4,16.3,Master,74.9
Jeddah,"21.492548970562403, 39.16715753676223",French,43.1,Mandarin,29.9,12.8,Bachelor,93.9
Jeddah,"21.493189040095654, 39.17036676373994",Arabic,42.6,French,19.8,15.7,PhD,74.1
Jeddah,"21.493306776036754, 39.174423786385134",French,59.7,Arabic,20.7,15.8,Master,89.4
Jeddah,"21.492115023028823, 39.178268439855565",Mandarin,54.0,English,25.3,14.9,Bachelor,66.2
Jeddah,"21.494375262214618, 39.178980507497506",French,46.3,Spanish,23.0,12.3,Bachelor,65.8
Jeddah,"21.49135884486434, 39.1829734777716",French,40.6,Spanish,40.3,16.5,Bachelor,92.2
Jeddah,"21.49226532430077, 39.18605236145763",English,27.6,French,24.4,16.4,Master,61.0
Jeddah,"21.49469162936092, 39.19150879445701",Spanish,62.4,Mandarin,25.6,16.0,PhD,73.1
Jeddah,"21.495137294381905, 39.19133918149548",Mandarin,27.4,English,21.8,14.6,High School,42.4
Jeddah,"21.493962548734036, 39.19806269061778",Arabic,83.3,French,6.8,16.7,PhD,65.1
Jeddah,"21.494242193489494, 39.198415796077406",Mandarin,41.0,Spanish,28.2,17.5,Bachelor,65.0
Jeddah,"21.49345259128957, 39.202286003711414",French,42.9,Arabic,28.6,13.5,Bachelor,81.3
Jeddah,"21.493301448840732, 39.20490624696927",Arabic,52.8,Mandarin,28.7,17.0,PhD,82.7
Jeddah,"21.495321170413764, 39.2108466098988",French,65.7,Mandarin,16.5,16.8,Bachelor,46.4
Jeddah,"21.491705439886765, 39.21501843094522",Spanish,68.1,French,16.0,16.7,Bachelor,71.1
Jeddah,"21.494922483221057, 39.21674570354064",English,37.5,Mandarin,29.0,12.6,Bachelor,89.6
Jeddah,"21.494136720972126, 39.219489967896294",French,74.2,English,15.5,12.1,Master,53.1
Jeddah,"21.495231552494005, 39.221672943003405",Spanish,47.6,Mandarin,28.4,16.6,Bachelor,62.4
Jeddah,"21.49171564135468, 39.22520072206767",Spanish,38.3,Arabic,27.3,14.1,Associate Degree,42.3
Jeddah,"21.49461318490091, 39.228299321937314",French,38.6,Arabic,24.1,13.4,High School,27.0
Jeddah,"21.49360461624649, 39.23307326484707",Spanish,37.7,English,25.8,14.5,PhD,76.6
Jeddah,"21.495190206432262, 39.235613753605634",Spanish,33.2,English,30.6,12.2,Bachelor,86.0
Jeddah,"21.49237729708903, 39.239260035661644",Spanish,38.2,Arabic,32.9,18.0,PhD,73.9
Jeddah,"21.49453660062133, 39.24413623575862",Mandarin,54.7,French,19.0,16.9,PhD,62.8
Jeddah,"21.49427474480846, 39.24593889754373",Spanish,51.4,English,29.4,14.0,Associate Degree,59.0
Jeddah,"21.49242115682066, 39.24829874974321",English,29.8,Mandarin,24.8,16.2,High School,22.6
Jeddah,"21.495477517171782, 39.151119747929876",Arabic,38.3,French,22.3,13.0,High School,49.6
Jeddah,"21.497005498809884, 39.151954975538615",French,50.3,Mandarin,27.2,14.3,Bachelor,78.6
Jeddah,"21.495324166589466, 39.15653088711641",Spanish,36.0,Mandarin,24.8,12.5,Bachelor,75.1
Jeddah,"21.496292716874304, 39.16014369819636",Mandarin,55.3,English,31.8,12.8,High School,44.6
Jeddah,"21.498525205555666, 39.16216387823577",Mandarin,54.7,English,24.9,18.0,Bachelor,65.4
Jeddah,"21.495899897539516, 39.16572669837432",Mandarin,45.2,French,30.5,17.7,Associate Degree,24.4
Jeddah,"21.495146320892086, 39.168630461508265",English,38.6,Arabic,28.3,14.2,PhD,94.1
Jeddah,"21.49741088603847, 39.17463888008509",Arabic,47.7,Mandarin,24.5,12.9,Bachelor,68.4
Jeddah,"21.497454178599614, 39.1748279858991",French,39.4,English,30.4,15.9,High School,50.0
Jeddah,"21.49801036567062, 39.17931117463554",French,67.3,Mandarin,14.4,16.4,PhD,86.3
Jeddah,"21.49503151828183, 39.182326208491176",French,29.4,Arabic,27.9,14.2,Associate Degree,32.6
Jeddah,"21.496089637688684, 39.186720505368186",English,44.3,Arabic,19.3,14.9,Bachelor,69.3
Jeddah,"21.497375400174622, 39.189040667170886",Spanish,63.0,Arabic,18.6,14.7,High School,43.7
Jeddah,"21.498629373148297, 39.19145766170677",French,61.2,English,27.6,16.8,Bachelor,55.5
Jeddah,"21.496284235572453, 39.19647547134427",Spanish,39.3,Arabic,35.5,17.6,Master,61.7
Jeddah,"21.4976589804555, 39.19899941051289",Mandarin,32.1,English,27.9,17.5,PhD,85.7
Jeddah,"21.496514839662172, 39.20454892034711",Arabic,44.1,English,23.0,12.7,PhD,91.8
Jeddah,"21.49522583882376, 39.204714494359344",Mandarin,27.0,Arabic,26.2,15.3,High School,59.1
Jeddah,"21.497988155994246, 39.211930268949935",Mandarin,40.9,Spanish,21.1,12.8,PhD,57.0
Jeddah,"21.49518952761684, 39.214628026994085",English,32.4,French,20.4,17.6,Bachelor,57.1
Jeddah,"21.49615562564193, 39.21718785686108",English,39.6,Mandarin,27.1,13.1,Bachelor,73.6
Jeddah,"21.4972454067295, 39.22032929520566",French,56.3,Mandarin,31.0,16.8,Master,70.8
Jeddah,"21.495701949276054, 39.224584321699794",Mandarin,38.3,Spanish,24.1,14.8,High School,36.1
Jeddah,"21.49475386739762, 39.224924554810855",French,54.6,Mandarin,21.7,12.7,Master,74.1
Jeddah,"21.4982766509944, 39.22977372529534",Spanish,54.8,French,21.9,13.3,Master,76.2
Jeddah,"21.495181832862656, 39.23495364521486",English,28.7,Mandarin,22.0,12.5,PhD,83.2
Jeddah,"21.497984091375535, 39.235992866231676",English,52.1,Spanish,33.7,12.3,Associate Degree,40.5
Jeddah,"21.494837451943027, 39.23984397968801",English,56.9,Arabic,16.0,12.9,High School,45.7
Jeddah,"21.49533862350158, 39.24362887013256",Mandarin,40.9,Spanish,34.9,16.5,High School,49.4
Jeddah,"21.497953408272796, 39.246246661419555",English,28.4,French,24.7,15.6,Associate Degree,26.6
Jeddah,"21.494784595838667, 39.25073285166701",English,31.5,Spanish,28.6,12.3,Master,57.8
Jeddah,"21.498691228847324, 39.14885886442388",Spanish,29.2,English,29.2,16.3,Bachelor,89.9
Jeddah,"21.498748604454846, 39.15245275155045",Arabic,33.2,English,26.3,17.9,PhD,69.8
Jeddah,"21.501533695195576, 39.15480526444159",Arabic,36.6,French,19.1,13.5,Master,70.9
Jeddah,"21.500476706195382, 39.15898313911698",Mandarin,45.9,Arabic,44.3,17.8,Bachelor,47.5
Jeddah,"21.499180420652, 39.16298130215852",English,48.8,Mandarin,30.0,13.9,High School,30.7
Jeddah,"21.500202754660815, 39.1649105829424",Mandarin,38.4,French,27.2,17.1,PhD,62.8
Jeddah,"21.499119103949756, 39.16854894406853",Mandarin,67.9,French,15.5,14.2,High School,36.5
Jeddah,"21.498797831226668, 39.17487194339823",Mandarin,34.8,Spanish,26.1,16.1,Master,59.6
Jeddah,"21.50010325623301, 39.177189684221965",Mandarin,54.2,Spanish,36.4,13.5,Master,64.9
Jeddah,"21.501208672331085, 39.181179384977206",English,38.2,Spanish,27.1,16.1,Bachelor,73.2
Jeddah,"21.501957614463045, 39.18446099640071",Arabic,39.5,Spanish,25.2,13.3,Bachelor,81.3
Jeddah,"21.49943644843935, 39.1868447378908",Mandarin,32.0,Arabic,25.8,15.4,Bachelor,65.2
Jeddah,"21.499938717941763, 39.19165070806639",Arabic,46.4,Mandarin,29.9,13.4,High School,59.4
Jeddah,"21.500009573022176, 39.19288685843161",English,49.9,Spanish,27.7,15.6,Bachelor,83.7
Jeddah,"21.49871926349479, 39.195942176935986",Spanish,52.3,Mandarin,25.3,13.1,PhD,81.3
Jeddah,"21.498876080752293, 39.20158305912646",English,35.2,Mandarin,20.8,18.0,PhD,82.7
Jeddah,"21.501114153125314, 39.20156769825444",Arabic,55.0,French,20.3,16.2,High School,56.9
Jeddah,"21.501966125293723, 39.206784395834525",Arabic,44.8,Mandarin,20.5,12.4,Bachelor,77.4
Jeddah,"21.5010673686738, 39.21199842298724",Spanish,53.8,English,16.7,16.8,Associate Degree,50.5
Jeddah,"21.501895919446934, 39.21173387068255",Spanish,50.6,Arabic,31.0,15.8,Associate Degree,46.6
Jeddah,"21.500627457685503, 39.21573277467093",Mandarin,44.5,Arabic,36.5,14.5,Master,84.6
Jeddah,"21.501265140646435, 39.22166903793028",English,51.3,Arabic,22.5,15.5,Master,86.7
Jeddah,"21.49822363462341, 39.22531890152736",English,53.9,Spanish,34.7,16.4,Master,69.4
Jeddah,"21.498877646344177, 39.22805268702853",Arabic,40.9,English,27.5,13.6,Bachelor,69.2
Jeddah,"21.501189562749516, 39.229419218538254",English,51.3,Arabic,30.5,15.1,PhD,76.5
Jeddah,"21.501356889009223, 39.2347142169428",Arabic,54.3,English,28.3,14.1,PhD,85.5
Jeddah,"21.49870440147032, 39.23703674470339",English,38.5,French,28.3,15.1,PhD,72.5
Jeddah,"21.501224840901436, 39.2407905062544",English,57.7,Mandarin,21.2,12.1,PhD,85.3
Jeddah,"21.501655920016514, 39.24144615961224",English,38.2,Mandarin,22.6,13.6,Associate Degree,62.5
Jeddah,"21.500802243213407, 39.24845690160695",Spanish,46.0,French,34.6,15.6,PhD,81.7
Jeddah,"21.500254425947134, 39.25025243556345",Spanish,40.6,Arabic,29.5,16.9,Bachelor,91.9
Jeddah,"21.502086267992954, 39.15195202484162",English,46.3,Spanish,31.2,15.0,Bachelor,88.6
Jeddah,"21.504859838772926, 39.15330224022891",Mandarin,44.8,Arabic,19.5,12.8,Bachelor,90.6
Jeddah,"21.502569545621938, 39.156628412347175",English,53.8,French,17.5,17.9,Associate Degree,54.5
Jeddah,"21.501694362840738, 39.15893049343233",Mandarin,62.6,Spanish,13.6,14.7,High School,50.6
Jeddah,"21.5022085691001, 39.16343912738993",English,33.9,Spanish,22.0,13.9,High School,44.4
Jeddah,"21.50133606731887, 39.16833825141035",Arabic,37.2,Spanish,37.2,13.6,PhD,67.8
Jeddah,"21.502139190866743, 39.16852195818248",Arabic,35.6,English,25.4,14.0,PhD,62.6
Jeddah,"21.504201083864096, 39.17500845648256",Mandarin,25.1,English,23.8,12.9,Bachelor,80.1
Jeddah,"21.504710469679086, 39.17596102191188",Spanish,35.9,English,23.5,12.6,Associate Degree,29.8
Jeddah,"21.501420984918308, 39.18034643670036",Arabic,39.1,English,33.0,15.9,PhD,61.3
Jeddah,"21.505002229923257, 39.18443079932861",English,44.9,Spanish,33.8,14.8,Associate Degree,50.9
Jeddah,"21.50471925688365, 39.18810934453303",Mandarin,42.1,French,34.1,15.8,PhD,88.4
Jeddah,"21.505175568334437, 39.18949436312033",Arabic,36.0,French,33.5,13.6,Associate Degree,37.9
Jeddah,"21.505101026187205, 39.19291571558275",Arabic,55.9,Mandarin,26.4,13.8,Bachelor,69.5
Jeddah,"21.501737462014056, 39.195873727281565",French,31.9,Mandarin,30.4,17.1,Bachelor,90.1
Jeddah,"21.501879140008764, 39.19863001554407",Mandarin,58.2,Arabic,22.4,15.2,Associate Degree,48.1
Jeddah,"21.505128107461438, 39.20450070343333",Arabic,61.1,Spanish,19.8,14.1,Master,90.3
Jeddah,"21.50517598173481, 39.20726338772924",Arabic,40.8,French,30.2,15.3,Associate Degree,22.2
Jeddah,"21.502030144017155, 39.21187497158533",Spanish,29.6,French,28.8,15.7,High School,66.3
Jeddah,"21.504107574926504, 39.21504871416927",Mandarin,42.4,English,35.1,12.2,Master,90.6
Jeddah,"21.504481300503716, 39.215559615522594",English,28.3,Arabic,27.4,12.4,Associate Degree,22.9
Jeddah,"21.503689133956467, 39.21870140651996",English,34.9,Arabic,25.2,14.4,Associate Degree,35.0
Jeddah,"21.502560626250524, 39.22408732709173",Spanish,32.9,French,29.1,16.9,High School,25.5
Jeddah,"21.501842726792226, 39.227581990490414",Arabic,41.7,French,34.9,15.4,Associate Degree,42.5
Jeddah,"21.50512848575022, 39.2317947926394",Mandarin,31.6,French,24.7,14.8,Associate Degree,44.5
Jeddah,"21.502899739042444, 39.23531046585553",Mandarin,31.2,Arabic,25.5,13.2,Associate Degree,62.0
Jeddah,"21.505194069094483, 39.234796197638374",French,34.9,Mandarin,25.4,12.3,Master,68.7
Jeddah,"21.50374288800314, 39.24168415286567",Mandarin,46.7,Spanish,25.3,14.5,Master,74.0
Jeddah,"21.505203460075798, 39.24221691433508",Arabic,33.8,French,25.9,17.5,High School,41.7
Jeddah,"21.503595534317814, 39.24841341784089",Mandarin,34.5,Spanish,30.7,14.6,Bachelor,75.3
Jeddah,"21.501895906805927, 39.250981373312406",Mandarin,36.6,Spanish,33.0,14.4,Master,79.9
Jeddah,"21.505618650367264, 39.15192951861976",Arabic,43.0,French,21.8,17.9,PhD,43.1
Jeddah,"21.505338216333673, 39.15487461434691",Spanish,44.4,Arabic,32.7,15.0,Bachelor,60.5
Jeddah,"21.50502157071695, 39.15750252991925",Mandarin,66.5,Spanish,12.2,15.2,High School,43.7
Jeddah,"21.50722307741829, 39.16154661406087",French,34.9,Spanish,24.1,15.4,Bachelor,79.6
Jeddah,"21.50645318640306, 39.162394183095586",French,32.8,English,30.7,15.3,Bachelor,80.0
Jeddah,"21.50566483011921, 39.16493784578692",French,38.4,English,32.6,13.1,High School,46.7
Jeddah,"21.50569329843284, 39.16843213840486",Arabic,41.7,Spanish,26.6,13.6,High School,15.5
Jeddah,"21.504671791296648, 39.17287708172515",French,39.9,Mandarin,23.3,16.6,Bachelor,73.9
Jeddah,"21.507597004644662, 39.178543073967084",French,43.2,English,30.1,14.3,High School,38.2
Jeddah,"21.508204874657018, 39.17997232797389",Arabic,88.3,English,7.0,17.8,Associate Degree,50.4
Jeddah,"21.506181516965764, 39.183517429204045",French,64.0,Mandarin,19.7,13.5,Associate Degree,62.1
Jeddah,"21.505072380905215, 39.18658462366825",Arabic,47.7,Mandarin,24.2,12.9,PhD,51.0
Jeddah,"21.508122869548544, 39.19060387825245",English,43.1,French,26.0,15.2,Master,79.4
Jeddah,"21.507415308283537, 39.19198395938033",French,58.8,Mandarin,28.6,13.7,High School,41.4
Jeddah,"21.504961504224912, 39.19804971660276",English,47.2,Spanish,39.3,12.8,High School,44.7
Jeddah,"21.50584630111913, 39.19927486763183",English,39.4,Spanish,33.6,17.6,PhD,59.1
Jeddah,"21.508473315192404, 39.2016301349404",Mandarin,38.9,Spanish,31.6,15.5,High School,43.2
Jeddah,"21.505347087479272, 39.206168498202985",Spanish,34.1,Arabic,31.6,13.0,High School,44.1
Jeddah,"21.507594607007753, 39.21018818503445",Spanish,41.7,English,25.0,13.8,Associate Degree,21.9
Jeddah,"21.50825916335915, 39.211705752074856",Arabic,40.8,Mandarin,40.5,13.5,High School,30.5
Jeddah,"21.507042788842877, 39.217121245569786",Arabic,42.1,English,24.1,15.4,Bachelor,83.7
Jeddah,"21.506597613812623, 39.21812397281621",English,30.9,Mandarin,27.3,12.3,PhD,76.5
Jeddah,"21.508436435699075, 39.22199332211238",Mandarin,54.0,Spanish,22.1,15.1,High School,39.3
Jeddah,"21.508225679748286, 39.22529508177599",French,43.2,Arabic,26.8,16.1,Master,56.2
Jeddah,"21.505071697910562, 39.228822201906866",Spanish,34.2,Arabic,30.6,12.9,PhD,83.0
Jeddah,"21.50542660369702, 39.23412212014856",English,49.7,French,28.7,12.2,Associate Degree,26.6
Jeddah,"21.50755481908497, 39.237586562689344",English,48.6,French,15.1,17.7,High School,41.7
Jeddah,"21.505727725744066, 39.23912609229378",French,43.2,English,26.6,12.4,High School,49.2
Jeddah,"21.505616859806455, 39.24153187510549",English,25.4,Spanish,22.9,15.9,Associate Degree,39.9
Jeddah,"21.506953745898098, 39.24802608468605",Mandarin,59.6,French,27.3,17.9,High School,52.6
Jeddah,"21.505281026404734, 39.24944331568491",French,58.7,Spanish,28.4,15.9,High School,44.0
Jeddah,"21.509710423829784, 39.14917819779586",Arabic,79.9,French,6.9,15.0,Master,77.6
Jeddah,"21.51064808090404, 39.15373419544538",Arabic,31.6,English,23.0,12.5,Bachelor,84.0
Jeddah,"21.508798699203044, 39.154769609437594",Arabic,40.4,French,33.0,14.3,Bachelor,64.4
Jeddah,"21.50868332876677, 39.15916724586418",French,38.1,Spanish,24.7,13.7,Associate Degree,50.9
Jeddah,"21.508327744378853, 39.16470840963072",French,56.7,English,22.0,13.9,Master,75.2
Jeddah,"21.509233413600473, 39.16625653606069",Arabic,52.2,Spanish,31.5,17.0,Bachelor,87.1
Jeddah,"21.509956387248483, 39.170644160218984",Spanish,41.4,Mandarin,29.9,16.3,High School,48.1
Jeddah,"21.508364547510205, 39.17350983745021",English,33.2,Arabic,20.5,16.0,Master,76.5
Jeddah,"21.50873952488217, 39.17820863743766",Spanish,42.9,English,28.8,13.0,Associate Degree,33.6
Jeddah,"21.50947760665973, 39.179783101083174",Arabic,32.3,French,29.7,13.4,Associate Degree,38.3
Jeddah,"21.509053183866733, 39.18319356515795",English,35.9,French,24.0,12.0,Bachelor,63.4
Jeddah,"21.508904969121133, 39.18574091463976",Arabic,65.0,Mandarin,15.1,16.6,Master,97.4
Jeddah,"21.508246557478643, 39.19100894056846",Arabic,76.1,English,18.2,17.2,High School,38.7
Jeddah,"21.51066987383654, 39.19167616258069",Spanish,41.0,Arabic,28.1,14.7,PhD,77.1
Jeddah,"21.509375165546185, 39.196832462690686",English,48.9,Spanish,21.2,14.9,High School,34.3
Jeddah,"21.511882822148696, 39.200358905769214",Mandarin,38.3,Arabic,36.9,12.5,High School,36.5
Jeddah,"21.510214407624634, 39.204696521999054",Spanish,53.3,French,22.0,12.3,Master,68.8
Jeddah,"21.511273620859463, 39.2063411949664",Arabic,50.5,Mandarin,42.9,12.3,Bachelor,83.1
Jeddah,"21.51014205764792, 39.21146757605482",French,37.5,English,32.3,13.1,Bachelor,79.1
Jeddah,"21.50989929755249, 39.214859948811004",Mandarin,39.0,Arabic,30.1,17.8,Associate Degree,26.1
Jeddah,"21.509905049124328, 39.214982486865765",Mandarin,39.3,English,27.2,14.6,Master,62.3
Jeddah,"21.511611108805358, 39.22085722279652",Mandarin,45.5,French,31.5,14.9,Bachelor,75.6
Jeddah,"21.510008405881266, 39.224935153579224",French,36.5,Arabic,23.4,13.7,High School,42.1
Jeddah,"21.511201801346886, 39.22737680620897",Mandarin,47.5,Spanish,21.4,17.2,PhD,72.1
Jeddah,"21.5104810924574, 39.228481127499016",English,50.9,Spanish,17.0,15.1,Bachelor,97.1
Jeddah,"21.511028755022558, 39.23202484922456",Arabic,45.1,Spanish,20.7,13.7,Bachelor,64.7
Jeddah,"21.511937471960998, 39.23855532618001",French,68.9,Arabic,12.9,13.0,Bachelor,68.8
Jeddah,"21.51123384288528, 39.238504743994554",Mandarin,39.5,English,38.2,14.8,Bachelor,62.1
Jeddah,"21.509693499597265, 39.24528645307868",English,45.5,French,28.9,13.5,PhD,94.7
Jeddah,"21.509741572982133, 39.248655743573785",Spanish,27.4,Mandarin,27.3,15.2,Bachelor,45.9
Jeddah,"21.51050890484893, 39.2513364324747",French,29.5,Arabic,25.3,14.5,Associate Degree,14.5
Jeddah,"21.512364878773283, 39.151643217942926",Arabic,37.0,Spanish,32.0,18.0,High School,55.5
Jeddah,"21.514990029080927, 39.151601381145525",French,37.3,English,25.1,13.3,Associate Degree,52.8
Jeddah,"21.512885729945392, 39.15625608664409",English,59.6,Spanish,24.5,16.7,Bachelor,80.6
Jeddah,"21.51263784055481, 39.159104803279625",French,60.8,English,26.8,16.9,High School,40.1
Jeddah,"21.513165962057823, 39.16482719834683",Mandarin,37.3,Spanish,37.1,17.9,Associate Degree,32.5
Jeddah,"21.514479535888643, 39.16715889838102",Arabic,41.1,Mandarin,26.1,12.8,PhD,64.5
Jeddah,"21.513423581375132, 39.1696783753369",French,50.8,Arabic,23.8,17.9,Bachelor,59.5
Jeddah,"21.512991102928407, 39.17192613229851",French,38.8,Arabic,38.2,15.3,PhD,59.4
Jeddah,"21.513685069866458, 39.177700176218096",Arabic,63.2,Spanish,17.8,16.0,Master,69.6
Jeddah,"21.51509193327328, 39.18169971266704",French,27.7,Spanish,24.3,14.1,Master,85.5
Jeddah,"21.51358406837124, 39.18173729510463",English,51.2,Spanish,24.3,13.5,Bachelor,78.7
Jeddah,"21.51247770474953, 39.18680920059125",Mandarin,41.4,English,26.8,14.7,PhD,92.4
Jeddah,"21.51270881004764, 39.18964356014919",English,30.9,French,27.4,14.6,PhD,91.1
Jeddah,"21.51286550722484, 39.19327567250248",French,57.2,Spanish,17.1,17.3,PhD,65.8
Jeddah,"21.513769181941143, 39.19481652934866",French,55.8,Arabic,15.1,13.4,High School,54.9
Jeddah,"21.51243498990147, 39.19857541068251",French,44.2,Mandarin,38.8,16.5,Master,86.5
Jeddah,"21.513767954389674, 39.204107978346",Mandarin,42.2,French,24.0,15.3,High School,50.3
Jeddah,"21.51148846346326, 39.20822496352232",Mandarin,37.4,Spanish,26.5,15.2,PhD,64.3
Jeddah,"21.51265930963627, 39.20895031717566",Arabic,37.4,Mandarin,31.2,12.5,Bachelor,43.9
Jeddah,"21.514316332612687, 39.215016673264955",English,45.5,French,30.0,14.5,Bachelor,74.3
Jeddah,"21.51492145878193, 39.214747598221045",French,41.3,Arabic,27.9,16.5,PhD,52.0
Jeddah,"21.51460287703455, 39.21921221981379",English,57.5,Spanish,38.7,16.6,High School,35.2
Jeddah,"21.51245471994607, 39.223299810186774",Mandarin,54.6,French,31.2,15.6,Master,89.1
Jeddah,"21.514118064712033, 39.22505953622776",French,38.2,English,22.9,15.7,Master,67.5
Jeddah,"21.514808933433727, 39.22853754208387",French,41.6,English,20.8,15.3,High School,43.4
Jeddah,"21.515230211031746, 39.23310577578666",Mandarin,42.7,English,31.1,12.8,High School,45.5
Jeddah,"21.51463662666045, 39.2357443465907",French,54.4,English,23.5,13.2,Bachelor,85.0
Jeddah,"21.513000424244154, 39.24058221924571",Mandarin,55.7,Spanish,32.6,17.5,Associate Degree,34.4
Jeddah,"21.512085076096902, 39.24217889534176",English,37.3,Mandarin,33.7,16.1,Associate Degree,22.8
Jeddah,"21.514629211070353, 39.24763044586235",Spanish,39.0,Arabic,37.5,17.3,Master,88.1
Jeddah,"21.51437130651424, 39.2514687558822",French,27.9,Arabic,22.6,12.9,PhD,91.3
Jeddah,"21.51795073623626, 39.15006107881044",Spanish,44.3,French,33.1,17.7,Master,75.0
Jeddah,"21.51530255643722, 39.15257782570649",English,43.9,French,34.1,14.2,Master,78.9
Jeddah,"21.516693847767613, 39.15520926595074",Mandarin,40.3,Arabic,32.6,15.0,PhD,65.6
Jeddah,"21.518071848030615, 39.161517330365434",English,60.8,Arabic,19.2,15.7,Master,66.5
Jeddah,"21.514782459303948, 39.162104387120664",Spanish,57.8,English,26.7,13.2,Bachelor,71.2
Jeddah,"21.517998386398972, 39.1680145733771",English,66.8,French,14.0,15.7,Master,92.6
Jeddah,"21.515664627711963, 39.16982579466851",French,36.8,Spanish,26.7,16.1,High School,9.3
Jeddah,"21.51833879094403, 39.17415186911421",Mandarin,51.4,English,25.9,12.1,Associate Degree,44.0
Jeddah,"21.515762576660563, 39.17796069183342",French,49.8,Spanish,22.9,15.3,Master,85.4
Jeddah,"21.516687172166414, 39.1805416392363",Arabic,27.4,French,21.5,13.6,Bachelor,88.0
Jeddah,"21.51516215810223, 39.18145558610286",Arabic,35.6,Mandarin,23.8,12.8,PhD,58.7
Jeddah,"21.516156533712806, 39.18704284104047",English,46.4,Arabic,38.9,16.7,High School,49.7
Jeddah,"21.515377001443323, 39.19148192308767",French,69.0,Mandarin,16.4,14.0,Associate Degree,30.7
Jeddah,"21.517014187660354, 39.192732372939915",French,39.8,Arabic,25.6,12.1,Associate Degree,47.9
Jeddah,"21.515320721124738, 39.198244634347915",Arabic,73.3,French,10.1,14.5,High School,62.4
Jeddah,"21.517662511204605, 39.20075540215046",English,33.8,Mandarin,23.7,17.4,Associate Degree,53.0
Jeddah,"21.515806944172404, 39.202879596016295",French,39.9,Arabic,31.7,14.7,High School,55.5
Jeddah,"21.51531829628906, 39.20695569891075",French,31.3,English,28.7,17.0,Bachelor,83.0
Jeddah,"21.518526337103474, 39.21142844474976",French,39.8,Mandarin,33.0,16.2,Associate Degree,59.6
