city,geo_location,total_population,male_population,female_population,male_avg_age,female_avg_age,overall_avg_age,avg_household_size
Jeddah,"21.486812227358225, 39.23622959267854",1369,685,684,40.5,38.4,39.5,3.4
Jeddah,"21.487203843656083, 39.24133810587674",4684,2415,2269,29.8,27.0,28.5,2.6
Jeddah,"21.487390889405503, 39.241597793667815",4559,2134,2425,33.8,27.4,30.4,3.4
Jeddah,"21.48746137019309, 39.247586500176396",1259,624,635,29.3,33.9,31.6,3.9
Jeddah,"21.48805253912723, 39.24823162377609",1889,1024,865,38.1,44.3,41.0,4.4
Jeddah,"21.488344851193563, 39.14973793435442",4793,2170,2623,28.6,28.1,28.3,4.4
Jeddah,"21.489813487369187, 39.15376866295104",4725,2416,2309,39.8,42.6,41.2,4.4
Jeddah,"21.48923716025549, 39.157633440702895",4001,1971,2030,31.5,42.1,36.9,2.7
Jeddah,"21.490962632720937, 39.15847777202763",2241,1061,1180,36.0,29.7,32.7,2.8
Jeddah,"21.49083160242847, 39.16413933177823",3675,1787,1888,44.3,40.8,42.5,4.2
Jeddah,"21.48865533052374, 39.168478731473684",3212,1510,1702,36.1,31.2,33.5,3.3
Jeddah,"21.490092021450913, 39.17113194840618",3003,1569,1434,34.3,39.9,36.9,3.5
Jeddah,"21.49088306207237, 39.1720011851501",1661,881,780,30.8,43.8,36.9,3.6
Jeddah,"21.488507722429922, 39.17779116258641",2069,1110,959,36.6,44.1,40.0,3.5
Jeddah,"21.489075057945634, 39.18154565903896",3930,2053,1877,28.6,33.9,31.2,4.1
Jeddah,"21.49108572116196, 39.18145075833802",4525,2299,2226,25.1,36.4,30.6,3.4
Jeddah,"21.491228431386627, 39.18575458904675",1663,757,906,29.9,43.0,37.1,3.4
Jeddah,"21.48825548795649, 39.1908492929928",3158,1708,1450,39.4,29.3,34.7,3.9
Jeddah,"21.490306606698855, 39.19164161345848",4348,2098,2250,36.6,36.2,36.4,4.3
Jeddah,"21.489820791110716, 39.19610716224875",1995,923,1072,25.6,38.5,32.5,4.4
Jeddah,"21.489998440023044, 39.200267544512954",1551,820,731,32.9,40.8,36.6,4.2
Jeddah,"21.489470751111426, 39.20235379765749",3244,1520,1724,25.8,25.9,25.8,4.0
Jeddah,"21.488411619660084, 39.20696231588743",3002,1532,1470,43.8,42.7,43.3,3.5
Jeddah,"21.4908911134933, 39.208913617692616",3072,1647,1425,33.8,38.7,36.0,3.9
Jeddah,"21.49003529953964, 39.211509484962384",3957,2059,1898,32.4,35.3,33.8,2.9
Jeddah,"21.491451713979608, 39.2156448724681",3610,1817,1793,43.5,41.0,42.2,4.3
Jeddah,"21.48988705835831, 39.21953191789747",4237,2329,1908,40.4,29.0,35.3,3.1
Jeddah,"21.488600338672963, 39.22505797364197",2237,1059,1178,32.8,26.6,29.5,3.6
Jeddah,"21.49142994079099, 39.22687812582065",4253,2157,2096,27.2,26.3,26.8,4.2
Jeddah,"21.491655790678085, 39.230962663312425",1667,909,758,42.4,36.4,39.7,4.4
Jeddah,"21.489677477217448, 39.23262054139122",1383,625,758,28.0,36.5,32.7,4.1
Jeddah,"21.489665026394004, 39.237547818352375",3989,2170,1819,40.0,38.3,39.2,2.7
Jeddah,"21.489085031832037, 39.23831154827987",1814,903,911,38.1,39.7,38.9,2.9
Jeddah,"21.48949123266695, 39.24334149710357",3507,1866,1641,43.2,36.5,40.1,4.5
Jeddah,"21.49160776403703, 39.24538404406776",1338,630,708,36.9,26.9,31.6,4.4
Jeddah,"21.491217352077832, 39.251925655455764",1594,780,814,37.7,39.6,38.7,2.7
Jeddah,"21.495149650963175, 39.14827570575109",1644,759,885,38.7,39.0,38.9,3.4
Jeddah,"21.493193710045, 39.15246256081581",2911,1529,1382,27.8,27.3,27.6,4.0
Jeddah,"21.494712719350378, 39.15597587035357",3758,1724,2034,27.3,33.1,30.4,2.8
Jeddah,"21.49354569891463, 39.158031876694224",1740,790,950,37.4,25.6,31.0,2.8
Jeddah,"21.492136017947143, 39.16358856029663",2404,1240,1164,43.5,40.2,41.9,4.4
Jeddah,"21.492548970562403, 39.16715753676223",1810,982,828,39.9,29.3,35.1,3.1
Jeddah,"21.493189040095654, 39.17036676373994",1788,881,907,31.7,35.7,33.8,3.8
Jeddah,"21.493306776036754, 39.174423786385134",2865,1475,1390,38.3,31.0,34.8,3.5
Jeddah,"21.492115023028823, 39.178268439855565",1612,848,764,30.6,27.0,28.9,3.1
Jeddah,"21.494375262214618, 39.178980507497506",4235,2142,2093,32.9,35.5,34.2,4.3
Jeddah,"21.49135884486434, 39.1829734777716",4521,2038,2483,38.3,44.6,41.8,2.8
Jeddah,"21.49226532430077, 39.18605236145763",2174,1059,1115,25.3,41.5,33.6,2.9
Jeddah,"21.49469162936092, 39.19150879445701",4468,2174,2294,44.4,39.4,41.8,4.2
Jeddah,"21.495137294381905, 39.19133918149548",1270,674,596,39.7,25.0,32.8,4.4
Jeddah,"21.493962548734036, 39.19806269061778",3931,2031,1900,36.9,27.6,32.4,3.9
Jeddah,"21.494242193489494, 39.198415796077406",3033,1614,1419,40.5,29.6,35.4,3.4
Jeddah,"21.49345259128957, 39.202286003711414",1581,755,826,33.5,32.2,32.8,3.2
Jeddah,"21.493301448840732, 39.20490624696927",2501,1222,1279,40.3,27.6,33.8,4.2
Jeddah,"21.495321170413764, 39.2108466098988",2062,1122,940,42.8,40.6,41.8,2.6
Jeddah,"21.491705439886765, 39.21501843094522",2973,1614,1359,33.4,32.2,32.9,2.8
Jeddah,"21.494922483221057, 39.21674570354064",1945,983,962,30.6,28.3,29.5,3.7
Jeddah,"21.494136720972126, 39.219489967896294",2814,1468,1346,44.3,33.6,39.2,4.2
Jeddah,"21.495231552494005, 39.221672943003405",1091,535,556,27.6,42.2,35.0,3.6
Jeddah,"21.49171564135468, 39.22520072206767",4871,2630,2241,31.8,30.2,31.1,4.2
Jeddah,"21.49461318490091, 39.228299321937314",4390,2361,2029,37.6,25.2,31.9,3.9
Jeddah,"21.49360461624649, 39.23307326484707",4548,2176,2372,30.0,27.5,28.7,3.7
Jeddah,"21.495190206432262, 39.235613753605634",4719,2550,2169,44.1,36.3,40.5,4.0
Jeddah,"21.49237729708903, 39.239260035661644",2849,1387,1462,42.9,31.2,36.9,2.6
Jeddah,"21.49453660062133, 39.24413623575862",2813,1431,1382,40.6,32.0,36.3,3.1
Jeddah,"21.49427474480846, 39.24593889754373",4454,2081,2373,29.9,34.6,32.4,2.7
Jeddah,"21.49242115682066, 39.24829874974321",4427,2350,2077,34.2,25.1,29.9,2.6
Jeddah,"21.495477517171782, 39.151119747929876",1243,654,589,40.9,35.3,38.3,2.6
Jeddah,"21.497005498809884, 39.151954975538615",1109,588,521,39.7,33.3,36.7,3.0
Jeddah,"21.495324166589466, 39.15653088711641",2840,1391,1449,40.3,26.8,33.4,2.8
Jeddah,"21.496292716874304, 39.16014369819636",3114,1414,1700,25.3,26.9,26.2,4.0
Jeddah,"21.498525205555666, 39.16216387823577",2500,1236,1264,28.0,25.6,26.8,3.9
Jeddah,"21.495899897539516, 39.16572669837432",4990,2416,2574,26.2,26.7,26.5,3.5
Jeddah,"21.495146320892086, 39.168630461508265",2673,1323,1350,29.9,34.2,32.1,3.0
Jeddah,"21.49741088603847, 39.17463888008509",1326,725,601,41.3,30.8,36.5,4.4
Jeddah,"21.497454178599614, 39.1748279858991",4907,2343,2564,31.0,41.0,36.2,2.8
Jeddah,"21.49801036567062, 39.17931117463554",3883,1823,2060,25.3,33.7,29.8,3.2
Jeddah,"21.49503151828183, 39.182326208491176",4520,2272,2248,32.1,33.5,32.8,3.4
Jeddah,"21.496089637688684, 39.186720505368186",2039,1018,1021,29.1,36.2,32.7,3.2
Jeddah,"21.497375400174622, 39.189040667170886",3748,1987,1761,40.5,37.1,38.9,2.8
Jeddah,"21.498629373148297, 39.19145766170677",4317,2339,1978,33.8,30.1,32.1,3.4
Jeddah,"21.496284235572453, 39.19647547134427",2612,1289,1323,28.0,32.1,30.0,2.6
Jeddah,"21.4976589804555, 39.19899941051289",1985,1058,927,39.0,34.5,36.9,2.6
Jeddah,"21.496514839662172, 39.20454892034711",2089,1024,1065,33.5,31.2,32.3,3.2
Jeddah,"21.49522583882376, 39.204714494359344",3413,1544,1869,26.4,27.3,26.9,3.4
Jeddah,"21.497988155994246, 39.211930268949935",2989,1544,1445,27.5,30.0,28.7,2.5
Jeddah,"21.49518952761684, 39.214628026994085",3683,1754,1929,29.7,40.4,35.3,3.6
Jeddah,"21.49615562564193, 39.21718785686108",4360,2273,2087,40.1,42.2,41.1,3.8
Jeddah,"21.4972454067295, 39.22032929520566",2104,1067,1037,31.3,38.4,34.8,3.9
Jeddah,"21.495701949276054, 39.224584321699794",2297,1213,1084,25.8,37.2,31.2,3.5
Jeddah,"21.49475386739762, 39.224924554810855",4308,2192,2116,37.9,37.0,37.5,3.5
Jeddah,"21.4982766509944, 39.22977372529534",4737,2318,2419,37.1,44.8,41.0,3.8
Jeddah,"21.495181832862656, 39.23495364521486",3654,1668,1986,34.3,33.8,34.0,2.7
Jeddah,"21.497984091375535, 39.235992866231676",2698,1317,1381,36.1,30.9,33.4,3.3
Jeddah,"21.494837451943027, 39.23984397968801",2564,1398,1166,28.0,34.7,31.0,4.4
Jeddah,"21.49533862350158, 39.24362887013256",2986,1486,1500,30.3,29.7,30.0,2.8
Jeddah,"21.497953408272796, 39.246246661419555",2320,1145,1175,29.2,38.8,34.1,3.5
Jeddah,"21.494784595838667, 39.25073285166701",3420,1742,1678,36.7,43.2,39.9,4.5
Jeddah,"21.498691228847324, 39.14885886442388",2827,1500,1327,26.3,41.5,33.4,3.0
Jeddah,"21.498748604454846, 39.15245275155045",4618,2277,2341,44.8,38.2,41.4,2.6
Jeddah,"21.501533695195576, 39.15480526444159",2913,1325,1588,34.2,43.1,39.0,4.2
Jeddah,"21.500476706195382, 39.15898313911698",1432,657,775,26.1,28.2,27.2,3.8
Jeddah,"21.499180420652, 39.16298130215852",1112,570,542,38.2,30.2,34.3,4.2
Jeddah,"21.500202754660815, 39.1649105829424",4694,2551,2143,43.9,41.0,42.6,3.0
Jeddah,"21.499119103949756, 39.16854894406853",3803,1978,1825,37.3,35.3,36.3,3.5
Jeddah,"21.498797831226668, 39.17487194339823",4195,2133,2062,43.0,42.9,43.0,2.7
Jeddah,"21.50010325623301, 39.177189684221965",2820,1540,1280,39.6,35.8,37.9,3.8
Jeddah,"21.501208672331085, 39.181179384977206",4950,2370,2580,38.2,25.6,31.7,4.1
Jeddah,"21.501957614463045, 39.18446099640071",1289,705,584,43.6,42.9,43.3,3.1
Jeddah,"21.49943644843935, 39.1868447378908",1566,729,837,27.4,43.9,36.2,4.3
Jeddah,"21.499938717941763, 39.19165070806639",3137,1572,1565,43.5,36.4,40.0,3.4
Jeddah,"21.500009573022176, 39.19288685843161",3076,1499,1577,43.7,35.8,39.6,2.6
Jeddah,"21.49871926349479, 39.195942176935986",1105,525,580,25.9,34.5,30.4,3.4
Jeddah,"21.498876080752293, 39.20158305912646",1383,736,647,28.6,28.8,28.7,3.6
Jeddah,"21.501114153125314, 39.20156769825444",2226,1134,1092,26.8,38.0,32.3,2.7
Jeddah,"21.501966125293723, 39.206784395834525",1646,824,822,35.0,41.3,38.2,3.0
Jeddah,"21.5010673686738, 39.21199842298724",1677,855,822,33.5,43.1,38.2,2.8
Jeddah,"21.501895919446934, 39.21173387068255",3974,2087,1887,36.6,45.0,40.6,4.4
Jeddah,"21.500627457685503, 39.21573277467093",2954,1525,1429,26.0,25.9,25.9,3.2
Jeddah,"21.501265140646435, 39.22166903793028",3922,1811,2111,43.1,26.8,34.3,3.7
Jeddah,"21.49822363462341, 39.22531890152736",1460,708,752,25.9,43.0,34.7,3.8
Jeddah,"21.498877646344177, 39.22805268702853",1725,860,865,38.5,41.2,39.8,3.6
Jeddah,"21.501189562749516, 39.229419218538254",1918,927,991,32.5,27.1,29.8,4.4
Jeddah,"21.501356889009223, 39.2347142169428",3379,1790,1589,41.1,38.4,39.8,3.3
Jeddah,"21.49870440147032, 39.23703674470339",2199,1130,1069,42.7,43.5,43.1,3.9
Jeddah,"21.501224840901436, 39.2407905062544",2159,1151,1008,32.5,35.9,34.1,3.9
Jeddah,"21.501655920016514, 39.24144615961224",4832,2470,2362,25.5,34.1,29.7,3.1
Jeddah,"21.500802243213407, 39.24845690160695",1265,625,640,28.1,31.8,29.9,3.3
Jeddah,"21.500254425947134, 39.25025243556345",1654,906,748,32.1,40.2,35.8,4.2
Jeddah,"21.502086267992954, 39.15195202484162",2665,1272,1393,35.9,25.0,30.2,4.4
Jeddah,"21.504859838772926, 39.15330224022891",4932,2608,2324,29.4,35.7,32.4,3.6
Jeddah,"21.502569545621938, 39.156628412347175",3055,1444,1611,25.8,33.7,30.0,4.5
Jeddah,"21.501694362840738, 39.15893049343233",2618,1303,1315,44.8,40.1,42.4,3.4
Jeddah,"21.5022085691001, 39.16343912738993",3358,1533,1825,25.4,41.7,34.3,2.7
Jeddah,"21.50133606731887, 39.16833825141035",1302,613,689,41.6,36.7,39.0,4.0
Jeddah,"21.502139190866743, 39.16852195818248",3968,1884,2084,38.2,44.7,41.6,3.8
Jeddah,"21.504201083864096, 39.17500845648256",1668,917,751,42.5,39.3,41.0,2.7
Jeddah,"21.504710469679086, 39.17596102191188",1873,931,942,33.2,25.0,29.1,2.9
Jeddah,"21.501420984918308, 39.18034643670036",2018,916,1102,30.1,36.1,33.4,2.7
Jeddah,"21.505002229923257, 39.18443079932861",2361,1246,1115,39.0,43.2,41.0,3.2
Jeddah,"21.50471925688365, 39.18810934453303",4916,2349,2567,31.0,27.9,29.4,2.7
Jeddah,"21.505175568334437, 39.18949436312033",1398,689,709,38.0,42.5,40.3,3.9
Jeddah,"21.505101026187205, 39.19291571558275",2120,959,1161,36.3,33.0,34.5,2.6
Jeddah,"21.501737462014056, 39.195873727281565",4094,2145,1949,42.9,43.6,43.3,2.6
Jeddah,"21.501879140008764, 39.19863001554407",3112,1439,1673,30.2,35.8,33.2,4.0
Jeddah,"21.505128107461438, 39.20450070343333",3582,1626,1956,35.8,43.2,39.8,2.5
Jeddah,"21.50517598173481, 39.20726338772924",2641,1310,1331,36.0,26.9,31.4,2.7
Jeddah,"21.502030144017155, 39.21187497158533",2109,1036,1073,42.0,27.1,34.4,3.0
Jeddah,"21.504107574926504, 39.21504871416927",2337,1197,1140,43.4,37.5,40.5,4.4
Jeddah,"21.504481300503716, 39.215559615522594",3236,1592,1644,38.3,37.3,37.8,4.3
Jeddah,"21.503689133956467, 39.21870140651996",3862,2114,1748,32.9,37.4,34.9,3.4
Jeddah,"21.502560626250524, 39.22408732709173",4810,2408,2402,36.3,38.8,37.6,4.2
Jeddah,"21.501842726792226, 39.227581990490414",2340,1132,1208,30.2,31.3,30.8,3.8
Jeddah,"21.50512848575022, 39.2317947926394",1453,671,782,27.7,37.0,32.7,2.9
Jeddah,"21.502899739042444, 39.23531046585553",4460,2313,2147,34.6,32.2,33.4,3.9
Jeddah,"21.505194069094483, 39.234796197638374",2562,1380,1182,25.9,27.3,26.5,3.4
Jeddah,"21.50374288800314, 39.24168415286567",2730,1414,1316,26.2,41.7,33.7,3.6
Jeddah,"21.505203460075798, 39.24221691433508",4159,2102,2057,32.9,33.4,33.2,3.0
Jeddah,"21.503595534317814, 39.24841341784089",4997,2603,2394,27.5,35.3,31.2,3.0
Jeddah,"21.501895906805927, 39.250981373312406",2525,1287,1238,32.6,25.2,28.9,2.5
Jeddah,"21.505618650367264, 39.15192951861976",3687,1899,1788,31.0,27.7,29.4,3.6
Jeddah,"21.505338216333673, 39.15487461434691",3377,1604,1773,25.9,43.4,35.1,4.5
Jeddah,"21.50502157071695, 39.15750252991925",3795,2036,1759,40.7,39.8,40.3,3.6
Jeddah,"21.50722307741829, 39.16154661406087",2781,1371,1410,33.2,31.5,32.4,3.4
Jeddah,"21.50645318640306, 39.162394183095586",1662,750,912,40.8,31.2,35.5,3.3
Jeddah,"21.50566483011921, 39.16493784578692",2491,1243,1248,33.9,35.8,34.8,2.6
Jeddah,"21.50569329843284, 39.16843213840486",2845,1502,1343,31.2,31.4,31.3,2.9
Jeddah,"21.504671791296648, 39.17287708172515",4200,2102,2098,37.2,33.5,35.3,3.0
Jeddah,"21.507597004644662, 39.178543073967084",4204,2047,2157,41.0,42.5,41.8,4.1
Jeddah,"21.508204874657018, 39.17997232797389",4499,2309,2190,40.4,31.7,36.2,3.1
Jeddah,"21.506181516965764, 39.183517429204045",1444,707,737,31.7,37.2,34.5,3.0
Jeddah,"21.505072380905215, 39.18658462366825",1219,549,670,43.6,33.5,38.1,4.2
Jeddah,"21.508122869548544, 39.19060387825245",1485,694,791,30.9,44.3,38.0,4.1
Jeddah,"21.507415308283537, 39.19198395938033",2753,1504,1249,34.6,38.1,36.2,3.1
Jeddah,"21.504961504224912, 39.19804971660276",1550,815,735,37.3,32.8,35.2,2.7
Jeddah,"21.50584630111913, 39.19927486763183",1724,824,900,44.7,26.8,35.4,4.3
Jeddah,"21.508473315192404, 39.2016301349404",4488,2245,2243,44.1,35.7,39.9,3.5
Jeddah,"21.505347087479272, 39.206168498202985",2590,1422,1168,25.1,43.1,33.2,3.6
Jeddah,"21.507594607007753, 39.21018818503445",1443,717,726,35.3,32.9,34.1,3.9
Jeddah,"21.50825916335915, 39.211705752074856",3288,1521,1767,42.5,28.5,35.0,3.7
Jeddah,"21.507042788842877, 39.217121245569786",4857,2359,2498,43.6,42.9,43.3,4.4
Jeddah,"21.506597613812623, 39.21812397281621",2119,1048,1071,44.9,33.2,39.0,3.0
Jeddah,"21.508436435699075, 39.22199332211238",1672,859,813,33.5,27.9,30.8,2.7
Jeddah,"21.508225679748286, 39.22529508177599",1674,762,912,35.6,29.6,32.3,4.0
Jeddah,"21.505071697910562, 39.228822201906866",2960,1433,1527,33.6,38.9,36.3,4.0
Jeddah,"21.50542660369702, 39.23412212014856",4548,2388,2160,26.0,36.1,30.8,4.4
Jeddah,"21.50755481908497, 39.237586562689344",3603,1682,1921,44.7,44.0,44.3,2.8
Jeddah,"21.505727725744066, 39.23912609229378",1523,704,819,36.1,40.0,38.2,3.5
Jeddah,"21.505616859806455, 39.24153187510549",4598,2185,2413,40.9,44.6,42.9,3.0
Jeddah,"21.506953745898098, 39.24802608468605",1128,583,545,33.6,31.1,32.4,3.2
Jeddah,"21.505281026404734, 39.24944331568491",3671,1823,1848,39.8,42.4,41.1,4.2
Jeddah,"21.509710423829784, 39.14917819779586",1314,605,709,43.9,28.1,35.4,3.9
Jeddah,"21.51064808090404, 39.15373419544538",2832,1355,1477,35.7,40.3,38.1,4.0
Jeddah,"21.508798699203044, 39.154769609437594",3012,1560,1452,37.4,41.3,39.3,2.7
Jeddah,"21.50868332876677, 39.15916724586418",2795,1509,1286,33.0,29.1,31.2,3.8
Jeddah,"21.508327744378853, 39.16470840963072",3642,1872,1770,39.8,34.8,37.4,2.6
Jeddah,"21.509233413600473, 39.16625653606069",4553,2427,2126,35.8,38.7,37.1,4.1
Jeddah,"21.509956387248483, 39.170644160218984",4677,2326,2351,39.3,38.1,38.7,2.6
Jeddah,"21.508364547510205, 39.17350983745021",4468,2040,2428,40.7,44.2,42.6,4.2
Jeddah,"21.50873952488217, 39.17820863743766",2044,987,1057,37.7,25.7,31.5,3.7
Jeddah,"21.50947760665973, 39.179783101083174",4247,2326,1921,31.5,35.9,33.5,4.2
Jeddah,"21.509053183866733, 39.18319356515795",2092,1071,1021,29.6,42.0,35.6,4.3
Jeddah,"21.508904969121133, 39.18574091463976",1048,475,573,43.4,39.0,41.0,3.8
Jeddah,"21.508246557478643, 39.19100894056846",1425,714,711,39.3,32.9,36.1,3.4
Jeddah,"21.51066987383654, 39.19167616258069",2173,1089,1084,26.3,33.5,29.9,4.5
Jeddah,"21.509375165546185, 39.196832462690686",2142,1018,1124,43.3,44.1,43.7,3.0
Jeddah,"21.511882822148696, 39.200358905769214",2751,1252,1499,35.6,41.4,38.8,4.3
Jeddah,"21.510214407624634, 39.204696521999054",3819,1743,2076,37.1,29.3,32.9,3.9
Jeddah,"21.511273620859463, 39.2063411949664",3262,1502,1760,37.8,38.0,37.9,4.3
Jeddah,"21.51014205764792, 39.21146757605482",3973,2053,1920,29.8,36.9,33.2,2.8
Jeddah,"21.50989929755249, 39.214859948811004",2869,1566,1303,35.2,30.1,32.9,3.6
Jeddah,"21.509905049124328, 39.214982486865765",2581,1368,1213,36.4,33.5,35.0,3.7
Jeddah,"21.511611108805358, 39.22085722279652",3107,1639,1468,42.7,40.3,41.6,3.7
Jeddah,"21.510008405881266, 39.224935153579224",2253,1237,1016,31.3,36.6,33.7,2.8
Jeddah,"21.511201801346886, 39.22737680620897",2963,1364,1599,41.8,38.6,40.1,3.0
Jeddah,"21.5104810924574, 39.228481127499016",1952,885,1067,26.8,39.6,33.8,3.7
Jeddah,"21.511028755022558, 39.23202484922456",4062,2219,1843,39.2,28.5,34.4,2.8
Jeddah,"21.511937471960998, 39.23855532618001",1834,977,857,38.0,36.8,37.4,2.8
Jeddah,"21.51123384288528, 39.238504743994554",1964,930,1034,40.8,28.0,34.1,2.7
Jeddah,"21.509693499597265, 39.24528645307868",3646,1881,1765,35.0,32.8,34.0,4.1
Jeddah,"21.509741572982133, 39.248655743573785",4865,2618,2247,29.2,28.4,28.9,4.2
Jeddah,"21.51050890484893, 39.2513364324747",4785,2176,2609,36.6,43.5,40.3,2.8
Jeddah,"21.512364878773283, 39.151643217942926",1496,679,817,27.3,28.7,28.1,2.9
Jeddah,"21.514990029080927, 39.151601381145525",1008,455,553,38.8,32.7,35.5,3.4
Jeddah,"21.512885729945392, 39.15625608664409",1469,667,802,25.6,41.8,34.4,3.7
Jeddah,"21.51263784055481, 39.159104803279625",4554,2303,2251,41.0,34.6,37.9,3.3
Jeddah,"21.513165962057823, 39.16482719834683",1045,527,518,41.4,28.8,35.1,3.3
Jeddah,"21.514479535888643, 39.16715889838102",1380,660,720,43.3,29.7,36.2,3.6
Jeddah,"21.513423581375132, 39.1696783753369",4803,2314,2489,29.9,43.9,37.1,3.7
Jeddah,"21.512991102928407, 39.17192613229851",4092,1860,2232,34.7,33.4,34.0,4.0
Jeddah,"21.513685069866458, 39.177700176218096",4507,2276,2231,27.8,31.3,29.5,3.3
Jeddah,"21.51509193327328, 39.18169971266704",3411,1642,1769,38.5,27.0,32.5,2.5
Jeddah,"21.51358406837124, 39.18173729510463",4003,2110,1893,25.3,41.7,33.1,3.3
Jeddah,"21.51247770474953, 39.18680920059125",1747,786,961,41.3,30.6,35.4,3.2
Jeddah,"21.51270881004764, 39.18964356014919",4040,2055,1985,33.8,26.5,30.2,2.5
Jeddah,"21.51286550722484, 39.19327567250248",3822,1737,2085,33.7,42.9,38.7,3.3
Jeddah,"21.513769181941143, 39.19481652934866",2100,964,1136,25.3,37.9,32.1,4.3
Jeddah,"21.51243498990147, 39.19857541068251",2225,1194,1031,39.2,39.1,39.1,4.3
Jeddah,"21.513767954389674, 39.204107978346",4860,2296,2564,30.6,41.2,36.2,3.6
Jeddah,"21.51148846346326, 39.20822496352232",1411,691,720,41.4,43.3,42.4,3.0
Jeddah,"21.51265930963627, 39.20895031717566",3533,1755,1778,35.5,25.3,30.3,4.0
Jeddah,"21.514316332612687, 39.215016673264955",4113,1930,2183,33.4,29.0,31.1,3.6
Jeddah,"21.51492145878193, 39.214747598221045",2547,1282,1265,36.3,37.4,36.9,2.8
Jeddah,"21.51460287703455, 39.21921221981379",3485,1728,1757,25.3,29.7,27.5,3.4
Jeddah,"21.51245471994607, 39.223299810186774",3275,1644,1631,37.7,27.4,32.6,3.6
Jeddah,"21.514118064712033, 39.22505953622776",3793,1957,1836,34.7,37.3,36.0,3.2
Jeddah,"21.514808933433727, 39.22853754208387",2519,1335,1184,33.6,32.3,33.0,4.2
Jeddah,"21.515230211031746, 39.23310577578666",3332,1650,1682,32.5,38.9,35.7,3.0
Jeddah,"21.51463662666045, 39.2357443465907",1091,593,498,27.7,42.6,34.5,4.0
Jeddah,"21.513000424244154, 39.24058221924571",2468,1222,1246,44.3,35.4,39.8,3.6
Jeddah,"21.512085076096902, 39.24217889534176",4574,2143,2431,25.3,44.6,35.5,3.6
Jeddah,"21.514629211070353, 39.24763044586235",1023,538,485,44.6,36.4,40.7,4.4
Jeddah,"21.51437130651424, 39.2514687558822",4853,2219,2634,34.2,31.7,32.9,3.1
Jeddah,"21.51795073623626, 39.15006107881044",4921,2272,2649,34.7,30.8,32.6,2.7
Jeddah,"21.51530255643722, 39.15257782570649",4063,1884,2179,30.9,37.0,34.2,4.1
Jeddah,"21.516693847767613, 39.15520926595074",1395,703,692,40.9,37.9,39.4,2.8
Jeddah,"21.518071848030615, 39.161517330365434",1376,702,674,36.8,43.8,40.2,3.4
Jeddah,"21.514782459303948, 39.162104387120664",1725,804,921,37.1,34.6,35.7,3.5
Jeddah,"21.517998386398972, 39.1680145733771",1304,645,659,41.2,42.6,41.9,4.3
Jeddah,"21.515664627711963, 39.16982579466851",2082,1087,995,32.3,43.3,37.6,2.7
Jeddah,"21.51833879094403, 39.17415186911421",3267,1583,1684,30.9,34.7,32.9,4.2
Jeddah,"21.515762576660563, 39.17796069183342",2306,1138,1168,35.1,25.1,30.0,3.7
Jeddah,"21.516687172166414, 39.1805416392363",1517,810,707,32.3,41.6,36.7,3.9
Jeddah,"21.51516215810223, 39.18145558610286",1073,583,490,26.0,37.6,31.3,2.9
Jeddah,"21.516156533712806, 39.18704284104047",3884,2096,1788,33.2,44.0,38.2,3.4
Jeddah,"21.515377001443323, 39.19148192308767",1865,993,872,30.6,42.3,36.0,4.5
Jeddah,"21.517014187660354, 39.192732372939915",3060,1426,1634,36.2,31.6,33.7,3.9
Jeddah,"21.515320721124738, 39.198244634347915",4225,2019,2206,26.2,34.7,30.6,3.8
Jeddah,"21.517662511204605, 39.20075540215046",4737,2518,2219,28.7,38.8,33.4,3.9
Jeddah,"21.515806944172404, 39.202879596016295",1984,910,1074,44.9,26.4,34.9,4.4
Jeddah,"21.51531829628906, 39.20695569891075",3221,1747,1474,40.9,32.5,37.0,3.5
Jeddah,"21.518526337103474, 39.21142844474976",1241,656,585,43.9,37.8,41.0,4.0
Jeddah,"21.517256186233713, 39.214044114317694",1241,569,672,36.5,44.5,40.8,3.7
Jeddah,"21.51574300098374, 39.21630469545265",4456,2211,2245,41.1,44.6,42.9,3.8
Jeddah,"21.514746876096662, 39.22112121465704",2290,1073,1217,26.6,42.6,35.1,4.0
Jeddah,"21.517736957580315, 39.221368925277616",1931,1051,880,42.2,33.8,38.4,4.1
Jeddah,"21.518312728418874, 39.22725615288336",1557,731,826,25.7,26.4,26.1,3.4
Jeddah,"21.517071234468645, 39.22803385490845",2285,1183,1102,25.1,34.7,29.7,4.3
Jeddah,"21.51567622843211, 39.234553675610115",4399,2414,1985,26.7,35.1,30.5,4.1
Jeddah,"21.515888505460204, 39.23853476444014",3301,1720,1581,39.0,29.5,34.5,3.8
Jeddah,"21.517237627911825, 39.23969522720264",4266,2161,2105,34.4,36.9,35.6,3.6
Jeddah,"21.51617256847575, 39.24272817013042",4543,2433,2110,31.9,36.9,34.2,3.1
Jeddah,"21.515674661503777, 39.246533458728656",2934,1545,1389,33.3,39.7,36.3,4.4
Jeddah,"21.517375451292214, 39.25129724328588",4248,2217,2031,43.5,44.5,44.0,2.9
Jeddah,"21.51958861015989, 39.14840924841187",2273,1207,1066,26.7,43.0,34.3,4.0
Jeddah,"21.520046054869873, 39.15398275514343",1289,584,705,31.6,28.1,29.7,4.0
Jeddah,"21.521373135800342, 39.15616358571931",3719,1900,1819,29.4,28.7,29.1,3.4
Jeddah,"21.52058936848026, 39.16043620041855",2215,1044,1171,42.6,40.8,41.7,3.2
